comment,label,processed,processed_baku
Mantap. Akhirnya bisa login pakai biometrik,1,mantap bisa login pakai biometrik,mantap bisa pakai
Aplikasi nya lengkap banget👍,1,aplikasi nya lengkap banget,aplikasi lengkap banget
"Welma gabungin aja sama myBCA , 1 Aplikasi untuk semua kebutuhan",0,welma gabungin aja mybca aplikasi semua butuh,gabungin aja mybca aplikasi semua butuh
BCA selalu berkomitmen menjaga kerahasiaan penggunanya.saya bangga telah menggunakan kartu BCA.,1,bca komitmen jaga rahasia guna bangga guna kartu bca,selalu komitmen jaga rahasia guna bangga guna kartu
Verifikasi diri melalui Halo BCA tidak bisa,-1,verifikasi lalu halo bca tidak bisa,verifikasi lalu halo tidak bisa
SETELAH DI UPDATE MALAH GK BISA LOGIN KATANYA TIDAK ADA INTERNET UDH PAKE INDIHOME PAKAI PAKET DATA MASIH GK BISA LOGIN,-1,di update tidak bisa login tidak internet udh pake indihome pakai paket data tidak bisa login,di malah tidak bisa kata tidak internet pake pakai paket data tidak bisa
"login make acara telp aktivasi hallo bca, ribet parah",-1,login make acara telp aktivasi hallo bca ribet parah,make acara aktivasi bca parah
bca the best bagi gua untuk transaksi,1,bca the best gua transaksi,the bagi gua transaksi
Aplikasi mempermudah transaksi saya,1,aplikasi mudah transaksi,aplikasi mudah transaksi
"Akhirnya login biometric sdh direlease, mantul..",1,login biometric sdh direlease mantul,login sdh mantul
Gagal masuk sms gagal vrifiksi,-1,gagal masuk sms gagal vrifiksi,gagal masuk gagal
Lumayan Sangat Membantu,1,lumayan bantu,lumayan bantu
mohon tambahkan fitur hapus rekening favorit,-1,mohon fitur hapus rekening favorit,mohon fitur hapus rekening favorit
Mau log in kok bolak balik kirim sms,-1,log in bolak kirim sms,log kok bolak kirim
"Mau login masa tiba"" ID BCA Terblokir aneh",-1,login tiba id bca blokir aneh,login tiba bca blokir aneh
Kok gk bisa verifikasi nomor atm nya ?,-1,tidak bisa verifikasi nomor atm nya,tidak bisa verifikasi nomor nya
Terima kasih sanggat membantu,1,terima kasih sanggat bantu,terima kasih sanggat bantu
Mode gelap dong. Silau kalo putih,-1,mode gelap silau kalo putih,mode gelap silau kalo putih
Harus selalu di abdate ya,1,selalu abdate ya,selalu abdate
Nggak bisa masuk menu di suruh SMS terus,-1,tidak bisa masuk menu suruh sms,tidak bisa masuk menu suruh terus
"Mantap tampilan lebih bagus, Ditunggu update nya",1,mantap tampil bagus tunggu update nya,mantap tampil bagus tunggu nya
Tolong untuk transfer tidak usah daftar pakai sms seperti BCA Mobile... mohon di tingkatkan lagi,-1,tolong transfer tidak daftar pakai sms bca mobile mohon tingkat,tolong transfer tidak daftar pakai seperti mobile mohon tingkat
"Tiba2 harus reset password, ga bisa login",-1,harus reset password tidak bisa login,harus password tidak bisa
tambahin sidik jari saat login. biar ga ngetik password saat loogin,-1,tambahin sidik jari login biar tidak ngetik password loogin,sidik jari login biar tidak password loogin
Paket kumplit semua rek bisa dioperasikan dlm satu aplikasi,1,paket kumplit rek bisa operasi dlm aplikasi,paket semua rek bisa operasi satu aplikasi
Kecewa banget saya masa vertifikasi selalu gagal dan sudah gitu pulsa saya berkurang gara² vertifikasi gagal terus,-1,kecewa banget masa vertifikasi gagal sudah gitu pulsa kurang gara vertifikasi gagal,kecewa banget masa selalu gagal sudah pulsa kurang vertifikasi gagal
"Tambah dong masuknya pakai sidik jari,,biar gak haru ngetik",-1,dong masuk pakai sidik jari biar tidak haru ngetik,dong masuk pakai sidik jari biar tidak haru
Kalau bisa biar bisa isi flash... 🌟 4 dulu,-1,bisa biar bisa isi flash,bisa biar bisa isi dulu
bagus dan berguna,1,bagus guna,bagus guna
